"clipID","subplotID","xCoord","yCoord","status","date"
"SCBI_066_676",39,16.7,13.5,"",""
"SCBI_066_572",39,18.7,4.5,"",""
"SCBI_066_688",39,4.7,16.5,"",""
"SCBI_066_693",39,7.2,16.5,"",""
"SCBI_066_675",39,16.2,13.5,"",""
"SCBI_066_630",39,11.7,10.5,"",""
"SCBI_066_523",39,12.2,1.5,"",""
"SCBI_066_516",39,8.7,1.5,"",""
"SCBI_066_689",39,5.2,16.5,"",""
"SCBI_066_665",39,11.2,13.5,"",""
"SCBI_066_709",39,15.2,16.5,"",""
"SCBI_066_522",39,11.7,1.5,"",""
"SCBI_066_517",39,9.2,1.5,"",""
"SCBI_066_525",39,13.2,1.5,"",""
"SCBI_066_677",39,17.2,13.5,"",""
"SCBI_066_561",39,13.2,4.5,"",""
"SCBI_066_508",39,4.7,1.5,"",""
"SCBI_066_654",39,5.7,13.5,"",""
"SCBI_066_559",39,12.2,4.5,"",""
"SCBI_066_618",39,5.7,10.5,"",""
"SCBI_066_641",39,17.2,10.5,"",""
"SCBI_066_542",39,3.7,4.5,"",""
"SCBI_066_538",39,1.7,4.5,"",""
"SCBI_066_594",39,11.7,7.5,"",""
"SCBI_066_531",39,16.2,1.5,"",""
"SCBI_066_657",39,7.2,13.5,"",""
"SCBI_066_588",39,8.7,7.5,"",""
"SCBI_066_510",39,5.7,1.5,"",""
"SCBI_066_610",39,1.7,10.5,"",""
"SCBI_066_595",39,12.2,7.5,"",""
"SCBI_066_648",39,2.7,13.5,"",""
"SCBI_066_590",39,9.7,7.5,"",""
"SCBI_066_662",39,9.7,13.5,"",""
"SCBI_066_627",39,10.2,10.5,"",""
"SCBI_066_562",39,13.7,4.5,"",""
"SCBI_066_711",39,16.2,16.5,"",""
"SCBI_066_614",39,3.7,10.5,"",""
"SCBI_066_549",39,7.2,4.5,"",""
"SCBI_066_631",39,12.2,10.5,"",""
"SCBI_066_574",39,1.7,7.5,"",""
"SCBI_066_568",39,16.7,4.5,"",""
"SCBI_066_612",39,2.7,10.5,"",""
"SCBI_066_714",39,17.7,16.5,"",""
"SCBI_066_605",39,17.2,7.5,"",""
"SCBI_066_712",39,16.7,16.5,"",""
"SCBI_066_622",39,7.7,10.5,"",""
"SCBI_066_659",39,8.2,13.5,"",""
"SCBI_066_680",39,18.7,13.5,"",""
"SCBI_066_592",39,10.7,7.5,"",""
"SCBI_066_673",39,15.2,13.5,"",""
"SCBI_066_528",39,14.7,1.5,"",""
"SCBI_066_715",39,18.2,16.5,"",""
"SCBI_066_633",39,13.2,10.5,"",""
"SCBI_066_566",39,15.7,4.5,"",""
"SCBI_066_506",39,3.7,1.5,"",""
"SCBI_066_704",39,12.7,16.5,"",""
"SCBI_066_599",39,14.2,7.5,"",""
"SCBI_066_713",39,17.2,16.5,"",""
"SCBI_066_545",39,5.2,4.5,"",""
"SCBI_066_621",39,7.2,10.5,"",""
"SCBI_066_660",39,8.7,13.5,"",""
"SCBI_066_582",39,5.7,7.5,"",""
"SCBI_066_653",39,5.2,13.5,"",""
"SCBI_066_613",39,3.2,10.5,"",""
"SCBI_066_629",39,11.2,10.5,"",""
"SCBI_066_690",39,5.7,16.5,"",""
"SCBI_066_661",39,9.2,13.5,"",""
"SCBI_066_686",39,3.7,16.5,"",""
"SCBI_066_699",39,10.2,16.5,"",""
"SCBI_066_608",39,18.7,7.5,"",""
"SCBI_066_552",39,8.7,4.5,"",""
"SCBI_066_553",39,9.2,4.5,"",""
"SCBI_066_589",39,9.2,7.5,"",""
"SCBI_066_652",39,4.7,13.5,"",""
"SCBI_066_643",39,18.2,10.5,"",""
"SCBI_066_626",39,9.7,10.5,"",""
"SCBI_066_581",39,5.2,7.5,"",""
"SCBI_066_706",39,13.7,16.5,"",""
"SCBI_066_578",39,3.7,7.5,"",""
"SCBI_066_541",39,3.2,4.5,"",""
"SCBI_066_623",39,8.2,10.5,"",""
"SCBI_066_617",39,5.2,10.5,"",""
"SCBI_066_678",39,17.7,13.5,"",""
"SCBI_066_628",39,10.7,10.5,"",""
"SCBI_066_664",39,10.7,13.5,"",""
"SCBI_066_558",39,11.7,4.5,"",""
"SCBI_066_603",39,16.2,7.5,"",""
"SCBI_066_586",39,7.7,7.5,"",""
"SCBI_066_655",39,6.2,13.5,"",""
"SCBI_066_698",39,9.7,16.5,"",""
"SCBI_066_573",39,1.2,7.5,"",""
"SCBI_066_707",39,14.2,16.5,"",""
"SCBI_066_692",39,6.7,16.5,"",""
"SCBI_066_667",39,12.2,13.5,"",""
"SCBI_066_540",39,2.7,4.5,"",""
"SCBI_066_702",39,11.7,16.5,"",""
"SCBI_066_514",39,7.7,1.5,"",""
"SCBI_066_710",39,15.7,16.5,"",""
"SCBI_066_640",39,16.7,10.5,"",""
"SCBI_066_546",39,5.7,4.5,"",""
"SCBI_066_669",39,13.2,13.5,"",""
"SCBI_066_604",39,16.7,7.5,"",""
"SCBI_066_526",39,13.7,1.5,"",""
"SCBI_066_696",39,8.7,16.5,"",""
"SCBI_066_529",39,15.2,1.5,"",""
"SCBI_066_593",39,11.2,7.5,"",""
"SCBI_066_565",39,15.2,4.5,"",""
"SCBI_066_547",39,6.2,4.5,"",""
"SCBI_066_567",39,16.2,4.5,"",""
"SCBI_066_638",39,15.7,10.5,"",""
"SCBI_066_703",39,12.2,16.5,"",""
"SCBI_066_695",39,8.2,16.5,"",""
"SCBI_066_551",39,8.2,4.5,"",""
"SCBI_066_511",39,6.2,1.5,"",""
"SCBI_066_679",39,18.2,13.5,"",""
"SCBI_066_649",39,3.2,13.5,"",""
"SCBI_066_555",39,10.2,4.5,"",""
"SCBI_066_598",39,13.7,7.5,"",""
"SCBI_066_647",39,2.2,13.5,"",""
"SCBI_066_507",39,4.2,1.5,"",""
"SCBI_066_658",39,7.7,13.5,"",""
"SCBI_066_600",39,14.7,7.5,"",""
"SCBI_066_619",39,6.2,10.5,"",""
"SCBI_066_544",39,4.7,4.5,"",""
"SCBI_066_609",39,1.2,10.5,"",""
"SCBI_066_530",39,15.7,1.5,"",""
"SCBI_066_597",39,13.2,7.5,"",""
"SCBI_066_646",39,1.7,13.5,"",""
"SCBI_066_637",39,15.2,10.5,"",""
"SCBI_066_670",39,13.7,13.5,"",""
"SCBI_066_587",39,8.2,7.5,"",""
"SCBI_066_611",39,2.2,10.5,"",""
"SCBI_066_520",39,10.7,1.5,"",""
"SCBI_066_583",39,6.2,7.5,"",""
"SCBI_066_716",39,18.7,16.5,"",""
"SCBI_066_650",39,3.7,13.5,"",""
"SCBI_066_691",39,6.2,16.5,"",""
"SCBI_066_636",39,14.7,10.5,"",""
"SCBI_066_515",39,8.2,1.5,"",""
"SCBI_066_537",39,1.2,4.5,"",""
"SCBI_066_674",39,15.7,13.5,"",""
"SCBI_066_518",39,9.7,1.5,"",""
"SCBI_066_668",39,12.7,13.5,"",""
"SCBI_066_596",39,12.7,7.5,"",""
"SCBI_066_575",39,2.2,7.5,"",""
"SCBI_066_602",39,15.7,7.5,"",""
"SCBI_066_634",39,13.7,10.5,"",""
"SCBI_066_513",39,7.2,1.5,"",""
"SCBI_066_580",39,4.7,7.5,"",""
"SCBI_066_554",39,9.7,4.5,"",""
"SCBI_066_672",39,14.7,13.5,"",""
"SCBI_066_584",39,6.7,7.5,"",""
"SCBI_066_548",39,6.7,4.5,"",""
"SCBI_066_620",39,6.7,10.5,"",""
"SCBI_066_550",39,7.7,4.5,"",""
"SCBI_066_639",39,16.2,10.5,"",""
"SCBI_066_579",39,4.2,7.5,"",""
"SCBI_066_543",39,4.2,4.5,"",""
"SCBI_066_527",39,14.2,1.5,"",""
"SCBI_066_645",39,1.2,13.5,"",""
"SCBI_066_570",39,17.7,4.5,"",""
"SCBI_066_666",39,11.7,13.5,"",""
"SCBI_066_576",39,2.7,7.5,"",""
"SCBI_066_521",39,11.2,1.5,"",""
"SCBI_066_512",39,6.7,1.5,"",""
"SCBI_066_577",39,3.2,7.5,"",""
"SCBI_066_651",39,4.2,13.5,"",""
"SCBI_066_564",39,14.7,4.5,"",""
"SCBI_066_539",39,2.2,4.5,"",""
"SCBI_066_557",39,11.2,4.5,"",""
"SCBI_066_700",39,10.7,16.5,"",""
"SCBI_066_656",39,6.7,13.5,"",""
"SCBI_066_524",39,12.7,1.5,"",""
"SCBI_066_624",39,8.7,10.5,"",""
"SCBI_066_635",39,14.2,10.5,"",""
"SCBI_066_606",39,17.7,7.5,"",""
"SCBI_066_694",39,7.7,16.5,"",""
"SCBI_066_632",39,12.7,10.5,"",""
"SCBI_066_705",39,13.2,16.5,"",""
"SCBI_066_625",39,9.2,10.5,"",""
"SCBI_066_697",39,9.2,16.5,"",""
"SCBI_066_687",39,4.2,16.5,"",""
"SCBI_066_569",39,17.2,4.5,"",""
"SCBI_066_571",39,18.2,4.5,"",""
"SCBI_066_642",39,17.7,10.5,"",""
"SCBI_066_601",39,15.2,7.5,"",""
"SCBI_066_616",39,4.7,10.5,"",""
"SCBI_066_556",39,10.7,4.5,"",""
"SCBI_066_671",39,14.2,13.5,"",""
"SCBI_066_701",39,11.2,16.5,"",""
"SCBI_066_644",39,18.7,10.5,"",""
"SCBI_066_563",39,14.2,4.5,"",""
"SCBI_066_519",39,10.2,1.5,"",""
"SCBI_066_708",39,14.7,16.5,"",""
"SCBI_066_560",39,12.7,4.5,"",""
"SCBI_066_591",39,10.2,7.5,"",""
"SCBI_066_607",39,18.2,7.5,"",""
"SCBI_066_663",39,10.2,13.5,"",""
"SCBI_066_615",39,4.2,10.5,"",""
"SCBI_066_509",39,5.2,1.5,"",""
"SCBI_066_585",39,7.2,7.5,"",""
