"clipID","subplotID","xCoord","yCoord","status","date"
"UNDE_010_069",NA,17.2,4.5,"",""
"UNDE_010_081",NA,5.2,7.5,"",""
"UNDE_010_166",NA,11.7,13.5,"",""
"UNDE_010_037",NA,1.2,4.5,"",""
"UNDE_010_195",NA,8.2,16.5,"",""
"UNDE_010_099",NA,14.2,7.5,"",""
"UNDE_010_162",NA,9.7,13.5,"",""
"UNDE_010_157",NA,7.2,13.5,"",""
"UNDE_010_114",NA,3.7,10.5,"",""
"UNDE_010_097",NA,13.2,7.5,"",""
"UNDE_010_056",NA,10.7,4.5,"",""
"UNDE_010_045",NA,5.2,4.5,"",""
"UNDE_010_060",NA,12.7,4.5,"",""
"UNDE_010_211",NA,16.2,16.5,"",""
"UNDE_010_017",NA,9.2,1.5,"",""
"UNDE_010_011",NA,6.2,1.5,"",""
"UNDE_010_122",NA,7.7,10.5,"",""
"UNDE_010_143",NA,18.2,10.5,"",""
"UNDE_010_022",NA,11.7,1.5,"",""
"UNDE_010_115",NA,4.2,10.5,"",""
"UNDE_010_029",NA,15.2,1.5,"",""
"UNDE_010_194",NA,7.7,16.5,"",""
"UNDE_010_082",NA,5.7,7.5,"",""
"UNDE_010_200",NA,10.7,16.5,"",""
"UNDE_010_118",NA,5.7,10.5,"",""
"UNDE_010_139",NA,16.2,10.5,"",""
"UNDE_010_067",NA,16.2,4.5,"",""
"UNDE_010_070",NA,17.7,4.5,"",""
"UNDE_010_008",NA,4.7,1.5,"",""
"UNDE_010_205",NA,13.2,16.5,"",""
"UNDE_010_119",NA,6.2,10.5,"",""
"UNDE_010_048",NA,6.7,4.5,"",""
"UNDE_010_044",NA,4.7,4.5,"",""
"UNDE_010_018",NA,9.7,1.5,"",""
"UNDE_010_191",NA,6.2,16.5,"",""
"UNDE_010_076",NA,2.7,7.5,"",""
"UNDE_010_188",NA,4.7,16.5,"",""
"UNDE_010_209",NA,15.2,16.5,"",""
"UNDE_010_207",NA,14.2,16.5,"",""
"UNDE_010_123",NA,8.2,10.5,"",""
"UNDE_010_140",NA,16.7,10.5,"",""
"UNDE_010_160",NA,8.7,13.5,"",""
"UNDE_010_062",NA,13.7,4.5,"",""
"UNDE_010_137",NA,15.2,10.5,"",""
"UNDE_010_204",NA,12.7,16.5,"",""
"UNDE_010_020",NA,10.7,1.5,"",""
"UNDE_010_177",NA,17.2,13.5,"",""
"UNDE_010_145",NA,1.2,13.5,"",""
"UNDE_010_043",NA,4.2,4.5,"",""
"UNDE_010_144",NA,18.7,10.5,"",""
"UNDE_010_158",NA,7.7,13.5,"",""
"UNDE_010_178",NA,17.7,13.5,"",""
"UNDE_010_150",NA,3.7,13.5,"",""
"UNDE_010_074",NA,1.7,7.5,"",""
"UNDE_010_149",NA,3.2,13.5,"",""
"UNDE_010_161",NA,9.2,13.5,"",""
"UNDE_010_174",NA,15.7,13.5,"",""
"UNDE_010_025",NA,13.2,1.5,"",""
"UNDE_010_098",NA,13.7,7.5,"",""
"UNDE_010_187",NA,4.2,16.5,"",""
"UNDE_010_171",NA,14.2,13.5,"",""
"UNDE_010_066",NA,15.7,4.5,"",""
"UNDE_010_159",NA,8.2,13.5,"",""
"UNDE_010_180",NA,18.7,13.5,"",""
"UNDE_010_078",NA,3.7,7.5,"",""
"UNDE_010_176",NA,16.7,13.5,"",""
"UNDE_010_096",NA,12.7,7.5,"",""
"UNDE_010_047",NA,6.2,4.5,"",""
"UNDE_010_193",NA,7.2,16.5,"",""
"UNDE_010_120",NA,6.7,10.5,"",""
"UNDE_010_007",NA,4.2,1.5,"",""
"UNDE_010_170",NA,13.7,13.5,"",""
"UNDE_010_168",NA,12.7,13.5,"",""
"UNDE_010_053",NA,9.2,4.5,"",""
"UNDE_010_091",NA,10.2,7.5,"",""
"UNDE_010_198",NA,9.7,16.5,"",""
"UNDE_010_167",NA,12.2,13.5,"",""
"UNDE_010_028",NA,14.7,1.5,"",""
"UNDE_010_197",NA,9.2,16.5,"",""
"UNDE_010_024",NA,12.7,1.5,"",""
"UNDE_010_057",NA,11.2,4.5,"",""
"UNDE_010_141",NA,17.2,10.5,"",""
"UNDE_010_010",NA,5.7,1.5,"",""
"UNDE_010_148",NA,2.7,13.5,"",""
"UNDE_010_208",NA,14.7,16.5,"",""
"UNDE_010_027",NA,14.2,1.5,"",""
"UNDE_010_102",NA,15.7,7.5,"",""
"UNDE_010_124",NA,8.7,10.5,"",""
"UNDE_010_146",NA,1.7,13.5,"",""
"UNDE_010_094",NA,11.7,7.5,"",""
"UNDE_010_040",NA,2.7,4.5,"",""
"UNDE_010_152",NA,4.7,13.5,"",""
"UNDE_010_030",NA,15.7,1.5,"",""
"UNDE_010_101",NA,15.2,7.5,"",""
"UNDE_010_190",NA,5.7,16.5,"",""
"UNDE_010_095",NA,12.2,7.5,"",""
"UNDE_010_073",NA,1.2,7.5,"",""
"UNDE_010_077",NA,3.2,7.5,"",""
"UNDE_010_038",NA,1.7,4.5,"",""
"UNDE_010_163",NA,10.2,13.5,"",""
"UNDE_010_135",NA,14.2,10.5,"",""
"UNDE_010_061",NA,13.2,4.5,"",""
"UNDE_010_054",NA,9.7,4.5,"",""
"UNDE_010_154",NA,5.7,13.5,"",""
"UNDE_010_199",NA,10.2,16.5,"",""
"UNDE_010_050",NA,7.7,4.5,"",""
"UNDE_010_172",NA,14.7,13.5,"",""
"UNDE_010_021",NA,11.2,1.5,"",""
"UNDE_010_151",NA,4.2,13.5,"",""
"UNDE_010_179",NA,18.2,13.5,"",""
"UNDE_010_189",NA,5.2,16.5,"",""
"UNDE_010_009",NA,5.2,1.5,"",""
"UNDE_010_071",NA,18.2,4.5,"",""
"UNDE_010_196",NA,8.7,16.5,"",""
"UNDE_010_026",NA,13.7,1.5,"",""
"UNDE_010_079",NA,4.2,7.5,"",""
"UNDE_010_006",NA,3.7,1.5,"",""
"UNDE_010_206",NA,13.7,16.5,"",""
"UNDE_010_126",NA,9.7,10.5,"",""
"UNDE_010_121",NA,7.2,10.5,"",""
"UNDE_010_046",NA,5.7,4.5,"",""
"UNDE_010_052",NA,8.7,4.5,"",""
"UNDE_010_125",NA,9.2,10.5,"",""
"UNDE_010_015",NA,8.2,1.5,"",""
"UNDE_010_142",NA,17.7,10.5,"",""
"UNDE_010_019",NA,10.2,1.5,"",""
"UNDE_010_186",NA,3.7,16.5,"",""
"UNDE_010_051",NA,8.2,4.5,"",""
"UNDE_010_092",NA,10.7,7.5,"",""
"UNDE_010_173",NA,15.2,13.5,"",""
"UNDE_010_014",NA,7.7,1.5,"",""
"UNDE_010_083",NA,6.2,7.5,"",""
"UNDE_010_192",NA,6.7,16.5,"",""
"UNDE_010_016",NA,8.7,1.5,"",""
"UNDE_010_153",NA,5.2,13.5,"",""
"UNDE_010_202",NA,11.7,16.5,"",""
"UNDE_010_203",NA,12.2,16.5,"",""
"UNDE_010_075",NA,2.2,7.5,"",""
"UNDE_010_068",NA,16.7,4.5,"",""
"UNDE_010_175",NA,16.2,13.5,"",""
"UNDE_010_165",NA,11.2,13.5,"",""
"UNDE_010_013",NA,7.2,1.5,"",""
"UNDE_010_063",NA,14.2,4.5,"",""
"UNDE_010_080",NA,4.7,7.5,"",""
"UNDE_010_201",NA,11.2,16.5,"",""
"UNDE_010_210",NA,15.7,16.5,"",""
"UNDE_010_100",NA,14.7,7.5,"",""
"UNDE_010_134",NA,13.7,10.5,"",""
"UNDE_010_117",NA,5.2,10.5,"",""
"UNDE_010_072",NA,18.7,4.5,"",""
"UNDE_010_164",NA,10.7,13.5,"",""
"UNDE_010_138",NA,15.7,10.5,"",""
"UNDE_010_012",NA,6.7,1.5,"",""
"UNDE_010_041",NA,3.2,4.5,"",""
"UNDE_010_155",NA,6.2,13.5,"",""
"UNDE_010_031",NA,16.2,1.5,"",""
"UNDE_010_093",NA,11.2,7.5,"",""
"UNDE_010_147",NA,2.2,13.5,"",""
"UNDE_010_156",NA,6.7,13.5,"",""
"UNDE_010_023",NA,12.2,1.5,"",""
"UNDE_010_103",NA,16.2,7.5,"",""
"UNDE_010_064",NA,14.7,4.5,"",""
"UNDE_010_065",NA,15.2,4.5,"",""
"UNDE_010_136",NA,14.7,10.5,"",""
"UNDE_010_055",NA,10.2,4.5,"",""
"UNDE_010_049",NA,7.2,4.5,"",""
"UNDE_010_042",NA,3.7,4.5,"",""
"UNDE_010_058",NA,11.7,4.5,"",""
"UNDE_010_169",NA,13.2,13.5,"",""
"UNDE_010_039",NA,2.2,4.5,"",""
"UNDE_010_059",NA,12.2,4.5,"",""
"UNDE_010_116",NA,4.7,10.5,"",""
