"clip_ID","grid_ID","x_coord","y_coord"
"DSNY_032_047",47,6.2,4.5
"DSNY_032_191",191,6.2,16.5
"DSNY_032_159",159,8.2,13.5
"DSNY_032_071",71,18.2,4.5
"DSNY_032_093",93,11.2,7.5
"DSNY_032_196",196,8.7,16.5
"DSNY_032_153",153,5.2,13.5
"DSNY_032_031",31,16.2,1.5
"DSNY_032_057",57,11.2,4.5
"DSNY_032_200",200,10.7,16.5
"DSNY_032_116",116,4.7,10.5
"DSNY_032_067",67,16.2,4.5
"DSNY_032_121",121,7.2,10.5
"DSNY_032_092",92,10.7,7.5
"DSNY_032_030",30,15.7,1.5
"DSNY_032_140",140,16.7,10.5
"DSNY_032_037",37,1.2,4.5
"DSNY_032_080",80,4.7,7.5
"DSNY_032_136",136,14.7,10.5
"DSNY_032_157",157,7.2,13.5
"DSNY_032_023",23,12.2,1.5
"DSNY_032_083",83,6.2,7.5
"DSNY_032_173",173,15.2,13.5
"DSNY_032_082",82,5.7,7.5
"DSNY_032_052",52,8.7,4.5
"DSNY_032_055",55,10.2,4.5
"DSNY_032_123",123,8.2,10.5
"DSNY_032_011",11,6.2,1.5
"DSNY_032_150",150,3.7,13.5
"DSNY_032_188",188,4.7,16.5
"DSNY_032_198",198,9.7,16.5
"DSNY_032_009",9,5.2,1.5
"DSNY_032_094",94,11.7,7.5
"DSNY_032_029",29,15.2,1.5
"DSNY_032_160",160,8.7,13.5
"DSNY_032_195",195,8.2,16.5
"DSNY_032_024",24,12.7,1.5
"DSNY_032_206",206,13.7,16.5
"DSNY_032_078",78,3.7,7.5
"DSNY_032_134",134,13.7,10.5
"DSNY_032_186",186,3.7,16.5
"DSNY_032_146",146,1.7,13.5
"DSNY_032_139",139,16.2,10.5
"DSNY_032_199",199,10.2,16.5
"DSNY_032_137",137,15.2,10.5
"DSNY_032_013",13,7.2,1.5
"DSNY_032_081",81,5.2,7.5
"DSNY_032_097",97,13.2,7.5
"DSNY_032_098",98,13.7,7.5
"DSNY_032_010",10,5.7,1.5
"DSNY_032_120",120,6.7,10.5
"DSNY_032_174",174,15.7,13.5
"DSNY_032_014",14,7.7,1.5
"DSNY_032_209",209,15.2,16.5
"DSNY_032_007",7,4.2,1.5
"DSNY_032_122",122,7.7,10.5
"DSNY_032_095",95,12.2,7.5
"DSNY_032_179",179,18.2,13.5
"DSNY_032_017",17,9.2,1.5
"DSNY_032_099",99,14.2,7.5
"DSNY_032_044",44,4.7,4.5
"DSNY_032_175",175,16.2,13.5
"DSNY_032_049",49,7.2,4.5
"DSNY_032_156",156,6.7,13.5
"DSNY_032_054",54,9.7,4.5
"DSNY_032_205",205,13.2,16.5
"DSNY_032_039",39,2.2,4.5
"DSNY_032_207",207,14.2,16.5
"DSNY_032_172",172,14.7,13.5
"DSNY_032_091",91,10.2,7.5
"DSNY_032_018",18,9.7,1.5
"DSNY_032_072",72,18.7,4.5
"DSNY_032_165",165,11.2,13.5
"DSNY_032_168",168,12.7,13.5
"DSNY_032_149",149,3.2,13.5
"DSNY_032_125",125,9.2,10.5
"DSNY_032_210",210,15.7,16.5
"DSNY_032_193",193,7.2,16.5
"DSNY_032_194",194,7.7,16.5
"DSNY_032_177",177,17.2,13.5
"DSNY_032_143",143,18.2,10.5
"DSNY_032_158",158,7.7,13.5
"DSNY_032_016",16,8.7,1.5
"DSNY_032_135",135,14.2,10.5
"DSNY_032_028",28,14.7,1.5
"DSNY_032_079",79,4.2,7.5
"DSNY_032_069",69,17.2,4.5
"DSNY_032_064",64,14.7,4.5
"DSNY_032_144",144,18.7,10.5
"DSNY_032_170",170,13.7,13.5
"DSNY_032_021",21,11.2,1.5
"DSNY_032_197",197,9.2,16.5
"DSNY_032_068",68,16.7,4.5
"DSNY_032_164",164,10.7,13.5
"DSNY_032_180",180,18.7,13.5
"DSNY_032_070",70,17.7,4.5
"DSNY_032_046",46,5.7,4.5
"DSNY_032_051",51,8.2,4.5
"DSNY_032_211",211,16.2,16.5
"DSNY_032_006",6,3.7,1.5
"DSNY_032_152",152,4.7,13.5
"DSNY_032_147",147,2.2,13.5
"DSNY_032_008",8,4.7,1.5
"DSNY_032_154",154,5.7,13.5
"DSNY_032_050",50,7.7,4.5
"DSNY_032_138",138,15.7,10.5
"DSNY_032_019",19,10.2,1.5
"DSNY_032_190",190,5.7,16.5
"DSNY_032_048",48,6.7,4.5
"DSNY_032_061",61,13.2,4.5
"DSNY_032_163",163,10.2,13.5
"DSNY_032_066",66,15.7,4.5
"DSNY_032_142",142,17.7,10.5
"DSNY_032_038",38,1.7,4.5
"DSNY_032_178",178,17.7,13.5
"DSNY_032_114",114,3.7,10.5
"DSNY_032_189",189,5.2,16.5
"DSNY_032_203",203,12.2,16.5
"DSNY_032_053",53,9.2,4.5
"DSNY_032_162",162,9.7,13.5
"DSNY_032_062",62,13.7,4.5
"DSNY_032_187",187,4.2,16.5
"DSNY_032_126",126,9.7,10.5
"DSNY_032_042",42,3.7,4.5
"DSNY_032_118",118,5.7,10.5
"DSNY_032_176",176,16.7,13.5
"DSNY_032_102",102,15.7,7.5
"DSNY_032_074",74,1.7,7.5
"DSNY_032_040",40,2.7,4.5
"DSNY_032_041",41,3.2,4.5
"DSNY_032_020",20,10.7,1.5
"DSNY_032_058",58,11.7,4.5
"DSNY_032_141",141,17.2,10.5
"DSNY_032_155",155,6.2,13.5
"DSNY_032_059",59,12.2,4.5
"DSNY_032_096",96,12.7,7.5
"DSNY_032_169",169,13.2,13.5
"DSNY_032_076",76,2.7,7.5
"DSNY_032_124",124,8.7,10.5
"DSNY_032_027",27,14.2,1.5
"DSNY_032_148",148,2.7,13.5
"DSNY_032_026",26,13.7,1.5
"DSNY_032_075",75,2.2,7.5
"DSNY_032_167",167,12.2,13.5
"DSNY_032_060",60,12.7,4.5
"DSNY_032_171",171,14.2,13.5
"DSNY_032_043",43,4.2,4.5
"DSNY_032_161",161,9.2,13.5
"DSNY_032_145",145,1.2,13.5
"DSNY_032_045",45,5.2,4.5
"DSNY_032_119",119,6.2,10.5
"DSNY_032_012",12,6.7,1.5
"DSNY_032_192",192,6.7,16.5
"DSNY_032_056",56,10.7,4.5
"DSNY_032_063",63,14.2,4.5
"DSNY_032_025",25,13.2,1.5
"DSNY_032_201",201,11.2,16.5
"DSNY_032_103",103,16.2,7.5
"DSNY_032_065",65,15.2,4.5
"DSNY_032_077",77,3.2,7.5
"DSNY_032_022",22,11.7,1.5
"DSNY_032_202",202,11.7,16.5
"DSNY_032_117",117,5.2,10.5
"DSNY_032_151",151,4.2,13.5
"DSNY_032_204",204,12.7,16.5
"DSNY_032_166",166,11.7,13.5
"DSNY_032_100",100,14.7,7.5
"DSNY_032_101",101,15.2,7.5
"DSNY_032_073",73,1.2,7.5
"DSNY_032_015",15,8.2,1.5
"DSNY_032_115",115,4.2,10.5
"DSNY_032_208",208,14.7,16.5
