"clip_ID","grid_ID","x_coord","y_coord"
"HARV_012_116",116,4.7,10.5
"HARV_012_125",125,9.2,10.5
"HARV_012_146",146,1.7,13.5
"HARV_012_175",175,16.2,13.5
"HARV_012_042",42,3.7,4.5
"HARV_012_077",77,3.2,7.5
"HARV_012_173",173,15.2,13.5
"HARV_012_174",174,15.7,13.5
"HARV_012_045",45,5.2,4.5
"HARV_012_134",134,13.7,10.5
"HARV_012_115",115,4.2,10.5
"HARV_012_138",138,15.7,10.5
"HARV_012_166",166,11.7,13.5
"HARV_012_121",121,7.2,10.5
"HARV_012_155",155,6.2,13.5
"HARV_012_011",11,6.2,1.5
"HARV_012_126",126,9.7,10.5
"HARV_012_124",124,8.7,10.5
"HARV_012_159",159,8.2,13.5
"HARV_012_098",98,13.7,7.5
"HARV_012_019",19,10.2,1.5
"HARV_012_117",117,5.2,10.5
"HARV_012_198",198,9.7,16.5
"HARV_012_083",83,6.2,7.5
"HARV_012_026",26,13.7,1.5
"HARV_012_169",169,13.2,13.5
"HARV_012_161",161,9.2,13.5
"HARV_012_101",101,15.2,7.5
"HARV_012_039",39,2.2,4.5
"HARV_012_119",119,6.2,10.5
"HARV_012_210",210,15.7,16.5
"HARV_012_097",97,13.2,7.5
"HARV_012_056",56,10.7,4.5
"HARV_012_075",75,2.2,7.5
"HARV_012_044",44,4.7,4.5
"HARV_012_170",170,13.7,13.5
"HARV_012_202",202,11.7,16.5
"HARV_012_064",64,14.7,4.5
"HARV_012_057",57,11.2,4.5
"HARV_012_142",142,17.7,10.5
"HARV_012_046",46,5.7,4.5
"HARV_012_055",55,10.2,4.5
"HARV_012_080",80,4.7,7.5
"HARV_012_194",194,7.7,16.5
"HARV_012_065",65,15.2,4.5
"HARV_012_092",92,10.7,7.5
"HARV_012_158",158,7.7,13.5
"HARV_012_190",190,5.7,16.5
"HARV_012_151",151,4.2,13.5
"HARV_012_203",203,12.2,16.5
"HARV_012_153",153,5.2,13.5
"HARV_012_209",209,15.2,16.5
"HARV_012_160",160,8.7,13.5
"HARV_012_205",205,13.2,16.5
"HARV_012_038",38,1.7,4.5
"HARV_012_094",94,11.7,7.5
"HARV_012_164",164,10.7,13.5
"HARV_012_145",145,1.2,13.5
"HARV_012_180",180,18.7,13.5
"HARV_012_010",10,5.7,1.5
"HARV_012_102",102,15.7,7.5
"HARV_012_060",60,12.7,4.5
"HARV_012_006",6,3.7,1.5
"HARV_012_165",165,11.2,13.5
"HARV_012_070",70,17.7,4.5
"HARV_012_176",176,16.7,13.5
"HARV_012_208",208,14.7,16.5
"HARV_012_103",103,16.2,7.5
"HARV_012_018",18,9.7,1.5
"HARV_012_013",13,7.2,1.5
"HARV_012_148",148,2.7,13.5
"HARV_012_081",81,5.2,7.5
"HARV_012_074",74,1.7,7.5
"HARV_012_066",66,15.7,4.5
"HARV_012_192",192,6.7,16.5
"HARV_012_047",47,6.2,4.5
"HARV_012_016",16,8.7,1.5
"HARV_012_009",9,5.2,1.5
"HARV_012_195",195,8.2,16.5
"HARV_012_029",29,15.2,1.5
"HARV_012_028",28,14.7,1.5
"HARV_012_163",163,10.2,13.5
"HARV_012_079",79,4.2,7.5
"HARV_012_007",7,4.2,1.5
"HARV_012_050",50,7.7,4.5
"HARV_012_049",49,7.2,4.5
"HARV_012_022",22,11.7,1.5
"HARV_012_114",114,3.7,10.5
"HARV_012_058",58,11.7,4.5
"HARV_012_191",191,6.2,16.5
"HARV_012_012",12,6.7,1.5
"HARV_012_054",54,9.7,4.5
"HARV_012_135",135,14.2,10.5
"HARV_012_072",72,18.7,4.5
"HARV_012_067",67,16.2,4.5
"HARV_012_189",189,5.2,16.5
"HARV_012_123",123,8.2,10.5
"HARV_012_150",150,3.7,13.5
"HARV_012_207",207,14.2,16.5
"HARV_012_168",168,12.7,13.5
"HARV_012_031",31,16.2,1.5
"HARV_012_154",154,5.7,13.5
"HARV_012_196",196,8.7,16.5
"HARV_012_204",204,12.7,16.5
"HARV_012_157",157,7.2,13.5
"HARV_012_025",25,13.2,1.5
"HARV_012_015",15,8.2,1.5
"HARV_012_120",120,6.7,10.5
"HARV_012_093",93,11.2,7.5
"HARV_012_179",179,18.2,13.5
"HARV_012_021",21,11.2,1.5
"HARV_012_071",71,18.2,4.5
"HARV_012_048",48,6.7,4.5
"HARV_012_061",61,13.2,4.5
"HARV_012_188",188,4.7,16.5
"HARV_012_122",122,7.7,10.5
"HARV_012_020",20,10.7,1.5
"HARV_012_051",51,8.2,4.5
"HARV_012_027",27,14.2,1.5
"HARV_012_137",137,15.2,10.5
"HARV_012_095",95,12.2,7.5
"HARV_012_017",17,9.2,1.5
"HARV_012_152",152,4.7,13.5
"HARV_012_211",211,16.2,16.5
"HARV_012_147",147,2.2,13.5
"HARV_012_024",24,12.7,1.5
"HARV_012_186",186,3.7,16.5
"HARV_012_136",136,14.7,10.5
"HARV_012_076",76,2.7,7.5
"HARV_012_073",73,1.2,7.5
"HARV_012_053",53,9.2,4.5
"HARV_012_014",14,7.7,1.5
"HARV_012_139",139,16.2,10.5
"HARV_012_096",96,12.7,7.5
"HARV_012_140",140,16.7,10.5
"HARV_012_037",37,1.2,4.5
"HARV_012_172",172,14.7,13.5
"HARV_012_040",40,2.7,4.5
"HARV_012_063",63,14.2,4.5
"HARV_012_156",156,6.7,13.5
"HARV_012_091",91,10.2,7.5
"HARV_012_199",199,10.2,16.5
"HARV_012_200",200,10.7,16.5
"HARV_012_043",43,4.2,4.5
"HARV_012_023",23,12.2,1.5
"HARV_012_052",52,8.7,4.5
"HARV_012_167",167,12.2,13.5
"HARV_012_197",197,9.2,16.5
"HARV_012_171",171,14.2,13.5
"HARV_012_149",149,3.2,13.5
"HARV_012_177",177,17.2,13.5
"HARV_012_141",141,17.2,10.5
"HARV_012_118",118,5.7,10.5
"HARV_012_082",82,5.7,7.5
"HARV_012_030",30,15.7,1.5
"HARV_012_099",99,14.2,7.5
"HARV_012_078",78,3.7,7.5
"HARV_012_069",69,17.2,4.5
"HARV_012_201",201,11.2,16.5
"HARV_012_178",178,17.7,13.5
"HARV_012_193",193,7.2,16.5
"HARV_012_100",100,14.7,7.5
"HARV_012_059",59,12.2,4.5
"HARV_012_062",62,13.7,4.5
"HARV_012_041",41,3.2,4.5
"HARV_012_206",206,13.7,16.5
"HARV_012_068",68,16.7,4.5
"HARV_012_187",187,4.2,16.5
"HARV_012_008",8,4.7,1.5
"HARV_012_144",144,18.7,10.5
"HARV_012_143",143,18.2,10.5
"HARV_012_162",162,9.7,13.5
